,ast_flag,cb_flag,disc_locale,discoverymethod,dkin_flag,etv_flag,ima_flag,micro_flag,obm_flag,pl_controv_flag,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_name,pl_orbeccen,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_tranmid,ptv_flag,pul_flag,rowupdate,rv_flag,st_age,st_mass,st_rad,st_teff,sy_dist,sy_pnum,sy_snum,tran_flag
71,0,0,Ground,Transit,0,0,0,0,0,0,305.1168,0.96,,,WASP-7 b,,4.9546416,0.0617,14.908,1.33,2455446.63493,0,0,2018-05-14,1,2.4,1.28,1.43,6400.0,162.303,1,1,1
72,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,2415.406,7.6,eps Tau b,0.151,594.9,1.93,,,,0,0,2019-01-28,1,,2.7,13.7,4901.0,47.52852,1,1,0
73,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,177.9848,0.56,HD 207832 b,0.13,161.97,0.57,,,,0,0,2018-09-25,1,,0.94,0.9,5710.0,58.9291,2,3,0
74,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,232.0159,0.73,HD 207832 c,0.27,1155.7,2.112,,,,0,0,2015-09-08,1,,0.94,0.9,5710.0,58.9291,2,3,0
75,0,0,Ground,Transit,0,0,0,0,0,0,195.457,0.615,,,HAT-P-40 b,0.0,4.457243,0.0608,19.392,1.73,2455813.17584,0,0,2018-04-25,1,,1.51,2.21,6080.0,464.469,1,1,1
76,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,8581.41,27.0,nu Oph c,0.165,3186.0,6.1,,,,0,0,2019-09-20,1,,3.04,15.1,4928.0,46.2107,2,1,0
77,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,444.962,1.4,HD 5608 b,0.19,792.6,1.9,,,,0,0,2018-12-03,1,,1.55,5.5,4854.0,58.1105,1,1,0
78,0,0,Space,Transit,0,0,0,0,1,0,,,,,KOI-13 b,,1.763589,,16.197,1.445,2454953.5652,0,0,2014-09-18,1,,2.05,1.76,8511.0,519.096,1,3,1
79,0,0,Ground,Transit,0,0,0,0,1,0,398.24099,1.253,,,TrES-2 b,,2.4706101,0.03635,14.135,1.261,,0,0,2018-04-25,1,2.5,1.05,1.0,5795.0,215.32,1,2,1
80,0,0,Ground,Transit,0,0,0,0,0,0,166.54292,0.524,,,HAT-P-1 b,,4.4652934,0.05535,13.641,1.217,,0,0,2016-01-12,1,2.1,1.13,1.11,5975.0,158.979,1,2,1
81,0,0,Ground,Transit,0,0,0,0,0,0,607.0553,1.91,,,TrES-3 b,,1.3061864,0.02283,14.628,1.305,,0,0,2016-01-12,1,0.1,0.93,0.82,5650.0,231.337,1,1,1
82,0,0,Ground,Transit,0,0,0,0,0,0,394.1092,1.24,,,OGLE-TR-113 b,,1.4324757,0.02278,12.453,1.111,,0,0,2016-01-12,1,,0.77,0.78,4804.0,566.459,1,1,1
83,0,0,Ground,Transit,0,0,0,0,0,0,1004.3428,3.16,,,WASP-10 b,,3.0927616,0.0378,11.96,1.067,,0,0,2016-01-12,1,,0.75,0.7,4675.0,140.998,1,1,1
84,0,0,Space,Transit,0,0,0,0,0,0,3689.85,11.61,,,Kepler-48 c,,9.6739283,,3.14,0.28,2454958.33981,0,0,2016-10-26,1,,0.89,0.89,5190.0,306.738,4,1,1
85,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,587.96,1.85,gam Cep b,0.049,903.3,2.05,,,,0,0,2015-11-11,1,,1.4,4.9,,14.1024,1,2,0
86,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,1557.301,4.9,GJ 676 A b,0.326,1056.8,1.82,,,,0,0,2018-04-25,1,,,,,16.0272,4,2,0
87,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,397.27,1.25,HD 142 b,0.17,349.7,1.02,,,,0,0,2014-08-21,1,,1.23,1.47,6245.0,26.1853,2,2,0
88,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,667.41,2.1,HD 159868 b,0.01,1178.4,2.25,,,,0,0,2018-12-03,1,,1.09,,5558.0,55.8503,2,1,0
89,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,2129.461,6.7,eps CrB b,0.11,417.9,1.3,,,,0,0,2015-09-08,1,1.74,1.7,21.0,4406.0,69.8683,1,1,0
90,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,753.23,2.37,HD 4732 b,0.13,360.2,1.19,,,,0,0,2014-05-14,1,,1.74,5.4,4959.0,54.7841,2,2,0
91,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,1069.771,3.366,HD 37605 c,0.013,2720.0,3.814,,,,0,0,2018-09-25,1,7.0,1.0,0.9,5448.0,46.7864,2,1,0
92,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,4.0,0.0126,HD 40307 b,0.2,4.3123,0.0468,,,,0,0,2014-05-14,1,4.5,0.77,,4956.0,12.9363,5,1,0
93,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,9.5,0.0299,HD 40307 d,0.07,20.432,0.1321,,,,0,0,2014-05-14,1,4.5,0.77,,4956.0,12.9363,5,1,0
94,0,0,Ground,Radial Velocity,0,0,0,0,0,1,,,7.1,0.0223,HD 40307 g,0.29,197.8,0.6,,,,0,0,2014-05-14,1,4.5,0.77,,4956.0,12.9363,5,1,0
95,0,0,Ground,Transit,0,0,0,0,0,0,559.36,1.76,,,WASP-77 A b,0.0,1.3600309,0.024,13.56,1.21,2455870.44977,0,0,2018-04-25,1,1.0,1.0,0.95,5500.0,105.166,1,2,1
96,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,4.4,0.014,GJ 676 A d,0.15,3.6,0.0413,,,,0,0,2016-09-27,1,,0.71,,,16.0272,4,2,0
97,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,603.9,1.9,HD 142245 b,0.09,1299.0,2.77,,,,0,0,2018-04-25,1,2.3,1.69,5.2,4878.0,97.2305,1,3,0
98,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,985.2,3.1,HD 1502 b,0.101,431.8,1.31,,,,0,0,2018-12-03,1,2.4,1.61,4.5,5049.0,190.953,1,1,0
99,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,540.3,1.7,HD 28678 b,0.168,387.1,1.25,,,,0,0,2018-12-03,1,1.8,1.74,6.2,5076.0,189.908,1,1,0
100,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,2415.4,7.6,HD 5891 b,0.066,177.11,0.76,,,,0,0,2018-04-25,1,1.5,1.91,8.7,4907.0,283.502,1,1,0
101,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,3496.0,11.0,HD 106270 b,0.402,2890.0,4.3,,,,0,0,2018-12-03,1,4.3,1.32,2.5,5638.0,93.808,1,1,0
102,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,413.2,1.3,HD 82886 b,0.066,705.0,1.65,,,,0,0,2018-04-25,1,7.0,1.06,4.8,5112.0,127.061,1,1,0
103,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,667.4,2.1,HD 116029 b,0.054,670.0,1.78,,,,0,0,2018-04-25,1,2.7,1.58,4.6,4951.0,123.245,2,2,0
104,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,444.9,1.4,HD 99706 b,0.365,868.0,2.14,,,,0,0,2018-12-03,1,2.1,1.72,5.4,4932.0,146.6,2,1,0
105,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,727.8,2.29,HD 163607 c,0.12,1314.0,2.42,,,,0,0,2018-12-03,1,8.6,1.09,1.63,5543.0,67.7855,2,1,0
106,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,152.55,0.48,HD 164509 b,0.26,282.4,0.875,,,,0,0,2018-09-25,1,1.1,1.13,1.06,5922.0,53.1119,1,2,0
107,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,117.59,0.37,HD 181720 b,0.26,956.0,1.78,,,,0,0,2018-04-25,1,,0.92,1.39,5781.0,60.2046,1,1,0
108,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,985.2,3.1,HD 190984 b,0.57,4885.0,5.5,,,,0,0,2014-08-21,1,,0.91,1.53,5988.0,148.187,1,1,0
109,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,53.0,0.17,BD-06 1339 c,0.31,125.94,0.435,,,,0,0,2014-05-14,1,4.4,0.7,,4324.0,20.2695,2,1,0
110,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,116.0,0.367,HD 103774 b,0.09,5.8881,0.07,,,,0,0,2014-05-14,1,1.05,1.33,,6489.0,56.4089,1,2,0
111,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,24.154,0.076,HD 109271 c,0.15,30.93,0.196,,,,0,0,2014-05-14,1,7.3,1.05,,5783.0,55.8716,2,1,0
112,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,1121.89,3.53,HD 166724 b,0.734,5144.0,5.42,,,,0,0,2014-05-14,1,4.0,0.81,,5127.0,45.1342,1,1,0
113,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,336.89,1.06,HD 220689 b,0.16,2209.0,3.36,,,,0,0,2019-06-24,1,3.5,1.04,1.07,5921.0,46.8778,1,1,0
114,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,460.83,1.45,HD 27631 b,0.12,2208.0,3.25,,,,0,0,2019-06-24,1,4.4,0.94,1.0,5737.0,50.2862,1,1,0
115,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,3302.11,10.39,HD 219077 b,0.77,5501.0,6.22,,,,0,0,2014-05-14,1,8.9,1.05,1.91,5362.0,29.1864,1,1,0
116,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,436.362,1.373,HD 30562 b,0.778,1159.2,2.315,,,,0,0,2018-04-25,1,3.6,1.23,1.53,5994.0,26.1597,1,1,0
117,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,298.75,0.94,HD 10647 b,0.15,989.2,2.015,,,,0,0,2014-05-14,1,1.4,1.11,1.1,6218.0,17.3357,1,1,0
118,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,1900.0,6.1,HD 70573 b,0.4,851.8,1.76,,,,0,0,2015-03-26,1,0.102,1.0,,5737.0,59.182,1,1,0
119,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,300.972,0.947,Kepler-68 d,0.18,580.0,1.4,,,,0,0,2019-06-07,1,6.3,1.08,1.24,5793.0,144.166,3,2,0
120,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,603.85,1.9,HD 222155 b,0.16,3999.0,5.1,,,,0,0,2018-04-25,1,8.2,1.13,1.67,5765.0,50.6078,1,1,0
121,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,861.28,2.71,HD 150706 b,0.38,5894.0,6.7,,,,0,0,2014-07-23,1,3.0,1.17,0.96,5961.0,28.2697,1,1,0
122,0,0,Ground,Radial Velocity,0,0,0,0,0,0,,,11.6,0.0365,HIP 57274 b,0.187,8.1352,0.07,,,2455801.779,0,0,2018-04-25,1,7.87,0.73,0.68,4640.0,25.8618,3,1,0
